image_path,class
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/12141279ui_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/12148956eo_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/12176911ut_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/12248250ov_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/38814303li_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/38814669nw_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/38825183tl_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/38839599ds_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/38875654ti_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42483482pb_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42554420ce_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42651617hc_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42667110bc_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42667558qk_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42675685cs_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42683145ov_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42684623fp_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42691407gf_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42691475jl_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42691509ar_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42693061cs_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42694472kl_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42700448ev_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42704788rs_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42704830hb_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42704918uv_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42704926tw_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42705191xk_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42705818uk_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42706916tj_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42707147tc_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42707934ft_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42708469jd_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42709912gr_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42718095iq_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42719246rw_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42720641ae_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42720646vb_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42721269lg_1_f.jpg,denim_denim-shirts
